pipeline,mean,std,count
cohpeak+lda_shrink,0.284310836069016,0.04244942919599556,469
cohpeak+lr,0.26963423478101656,0.032665721920639046,469
cohpeak+svm_lin,0.2680387791436909,0.03374138940580063,469
cohpeak+svm_rbf,0.2838429250497294,0.04053961777410633,469
csp+lda,0.4856795421732006,0.13032839480224626,469
csp+lr,0.4875477888563803,0.1297684827733006,469
riem+lda,0.4944217027123295,0.11836744181733505,469
riem+lr,0.5629053933025677,0.1329382386010653,469
riem+svm_lin,0.4964672153565421,0.12685508433915885,469
riem+svm_rbf,0.5536234413128672,0.12590699670869032,469
